"ind" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "spp" "spp.1" "clade" "spp.2" "clade.1"
"39" "DC_AUHT-5651_georgia_EvansCo_Daisy_sorted" -0.0891684 0.0831275 0.0381628 -0.0133497 -0.0157448 -0.0070395 0.0735433 0.00746182 -0.038772 0.021939 "East" "East" "Atlantic" "East" "Atlantic"
"40" "DC_AUHT-5654_georgia_EvansCo_Daisy_sorted" -0.105884 0.116218 0.00600064 0.000647301 -0.0265036 0.0373771 -0.026403 0.0440038 0.0182615 -0.00570082 "East" "East" "Atlantic" "East" "Atlantic"
"41" "DC_AUHT-5655_georgia_EvansCo_Daisy_sorted" -0.0873239 0.0768745 -0.00673136 0.0156068 0.0231546 -0.113169 0.136081 -0.177521 -0.0210481 -0.022099 "East" "East" "Atlantic" "East" "Atlantic"
"42" "DC_AUHT-5662_georgia_BryanCo_sorted" -0.102991 0.129346 -0.0371882 0.00226529 -0.0270516 0.127241 -0.0303615 0.110629 0.0145962 -0.0246037 "East" "East" "Atlantic" "East" "Atlantic"
"43" "DC_AUHT-5665_georgia_EvansCo_Daisy_sorted" -0.0974893 0.130027 0.0268136 0.0131043 -0.0525065 0.067226 0.0132434 0.0687034 0.00192517 0.0923492 "East" "East" "Atlantic" "East" "Atlantic"
"44" "DC_AUHT-5666_georgia_BryanCo_sorted" -0.103084 0.131247 0.00962826 0.0189613 -0.00605056 0.077888 -0.00589601 -0.00991634 0.0224399 0.0543768 "East" "East" "Atlantic" "East" "Atlantic"
"45" "DC_AUHT-5668_georgia_EvansCo_Daisy_sorted" -0.0994704 0.11435 -0.0036552 -0.00200325 0.000431035 0.0629164 -0.02815 0.0499162 0.0106023 -0.0252033 "East" "East" "Atlantic" "East" "Atlantic"
"46" "DC_AUHT-5670_georgia_WayneCo_Akin_sorted" -0.0580292 -0.00428206 0.0418856 0.0340951 0.0724071 -0.203917 0.0709959 0.0834121 0.10043 -0.0460325 "East" "East" "Atlantic" "East" "Atlantic"
"47" "DC_AUHT-5675_georgia_LongCo_Tibet_sorted" -0.0627347 0.00699152 0.0507393 -0.00861033 0.0455016 -0.221663 0.00754159 0.128592 0.0661588 -0.0265076 "East" "East" "Atlantic" "East" "Atlantic"
"48" "DC_AUHT-5687_georgia_CoffeeCo_SappsStill_sorted" -0.0292023 -0.080021 0.0324682 0.0611116 -0.166416 -0.0359137 0.0306234 -0.0608427 0.057275 -0.0570917 "West" "West" "Atlantic" "West" "Atlantic"
